league_id,league_name,country_name,season,fixture_id,utc_date,timezone,timestamp,status_long,status_short,elapsed,round,home_team_id,home_team_name,away_team_id,away_team_name,home_goals,away_goals,winner,venue_id,venue_name,referee
61,Ligue 1,France,2023,1044885,2023-08-11T19:00:00+00:00,UTC,1691780400,Match Finished,FT,90,Regular Season - 1,84,Nice,79,Lille,1,1,DRAW,663.0,Allianz Riviera,B. Bastien
61,Ligue 1,France,2023,1044884,2023-08-12T15:00:00+00:00,UTC,1691852400,Match Finished,FT,90,Regular Season - 1,81,Marseille,93,Reims,2,1,HOME,667.0,Orange Vélodrome,E. Wattellier
61,Ligue 1,France,2023,1044881,2023-08-12T19:00:00+00:00,UTC,1691866800,Match Finished,FT,90,Regular Season - 1,85,Paris Saint Germain,97,Lorient,0,0,DRAW,671.0,Parc des Princes,B. Dechepy
61,Ligue 1,France,2023,1044889,2023-08-13T11:00:00+00:00,UTC,1691924400,Match Finished,FT,90,Regular Season - 1,106,Stade Brestois 29,116,Lens,3,2,HOME,641.0,Stade Francis-Le Blé,J. Pignard
61,Ligue 1,France,2023,1044888,2023-08-13T13:00:00+00:00,UTC,1691931600,Match Finished,FT,90,Regular Season - 1,82,Montpellier,111,Le Havre,2,2,DRAW,20107.0,Stade de la Mosson-Mondial 98,C. Turpin
61,Ligue 1,France,2023,1044887,2023-08-13T13:00:00+00:00,UTC,1691931600,Match Finished,FT,90,Regular Season - 1,83,Nantes,96,Toulouse,1,2,AWAY,662.0,Stade de la Beaujoire - Louis Fonteneau,W. Delajod
61,Ligue 1,France,2023,1044886,2023-08-13T13:00:00+00:00,UTC,1691931600,Match Finished,FT,90,Regular Season - 1,99,Clermont Foot,91,Monaco,2,4,AWAY,644.0,Stade Gabriel-Montpied,F. Letexier
61,Ligue 1,France,2023,1044883,2023-08-13T15:05:00+00:00,UTC,1691939100,Match Finished,FT,90,Regular Season - 1,94,Rennes,112,Metz,5,1,HOME,680.0,Roazhon Park,J. Stinat
61,Ligue 1,France,2023,1044882,2023-08-13T18:45:00+00:00,UTC,1691952300,Match Finished,FT,90,Regular Season - 1,95,Strasbourg,80,Lyon,2,1,HOME,681.0,Stade de la Meinau,J. Brisard
61,Ligue 1,France,2023,1044898,2023-08-18T19:00:00+00:00,UTC,1692385200,Match Finished,FT,90,Regular Season - 2,112,Metz,81,Marseille,2,2,DRAW,658.0,Stade Saint-Symphorien,J. Brisard
