league_id,league_name,country_name,season,fixture_id,utc_date,timezone,timestamp,status_long,status_short,elapsed,round,home_team_id,home_team_name,away_team_id,away_team_name,home_goals,away_goals,winner,venue_id,venue_name,referee
78,Bundesliga,Germany,2020,587176,2020-09-18T18:30:00+00:00,UTC,1600453800,Match Finished,FT,90,Regular Season - 1,157,Bayern Munich,174,FC Schalke 04,8,0,HOME,700,Allianz Arena,F. Zwayer
78,Bundesliga,Germany,2020,587183,2020-09-19T13:30:00+00:00,UTC,1600522200,Match Finished,FT,90,Regular Season - 1,162,Werder Bremen,159,Hertha Berlin,1,4,AWAY,755,wohninvest WESERSTADION,S. Stegemann
78,Bundesliga,Germany,2020,587180,2020-09-19T13:30:00+00:00,UTC,1600522200,Match Finished,FT,90,Regular Season - 1,169,Eintracht Frankfurt,188,Arminia Bielefeld,1,1,DRAW,10491,Deutsche Bank Park,B. Brand
78,Bundesliga,Germany,2020,587184,2020-09-19T13:30:00+00:00,UTC,1600522200,Match Finished,FT,90,Regular Season - 1,172,VfB Stuttgart,160,SC Freiburg,2,3,AWAY,750,Mercedes-Benz-Arena,B. Cortus
78,Bundesliga,Germany,2020,587181,2020-09-19T13:30:00+00:00,UTC,1600522200,Match Finished,FT,90,Regular Season - 1,182,Union Berlin,170,FC Augsburg,1,3,AWAY,748,Stadion An der Alten Försterei,M. Fritz
78,Bundesliga,Germany,2020,587182,2020-09-19T13:30:00+00:00,UTC,1600522200,Match Finished,FT,90,Regular Season - 1,192,1. FC Köln,167,1899 Hoffenheim,2,3,AWAY,731,RheinEnergieStadion,D. Siebert
78,Bundesliga,Germany,2020,587177,2020-09-19T16:30:00+00:00,UTC,1600533000,Match Finished,FT,90,Regular Season - 1,165,Borussia Dortmund,163,Borussia Monchengladbach,3,0,HOME,702,Signal-Iduna-Park,F. Brych
78,Bundesliga,Germany,2020,587178,2020-09-20T13:30:00+00:00,UTC,1600608600,Match Finished,FT,90,Regular Season - 1,173,RB Leipzig,164,FSV Mainz 05,3,1,HOME,738,Red Bull Arena,M. Gräfe
78,Bundesliga,Germany,2020,587179,2020-09-20T16:00:00+00:00,UTC,1600617600,Match Finished,FT,90,Regular Season - 1,161,VfL Wolfsburg,168,Bayer Leverkusen,0,0,DRAW,752,VOLKSWAGEN ARENA,S. Jablonski
78,Bundesliga,Germany,2020,587189,2020-09-25T18:30:00+00:00,UTC,1601058600,Match Finished,FT,90,Regular Season - 2,159,Hertha Berlin,169,Eintracht Frankfurt,1,3,AWAY,694,Olympiastadion Berlin,B. Dankert
78,Bundesliga,Germany,2020,587185,2020-09-26T13:30:00+00:00,UTC,1601127000,Match Finished,FT,90,Regular Season - 2,163,Borussia Monchengladbach,182,Union Berlin,1,1,DRAW,703,Stadion im BORUSSIA-PARK,T. Stieler
78,Bundesliga,Germany,2020,587191,2020-09-26T13:30:00+00:00,UTC,1601127000,Match Finished,FT,90,Regular Season - 2,164,FSV Mainz 05,172,VfB Stuttgart,1,4,AWAY,717,OPEL ARENA,D. Schlager
78,Bundesliga,Germany,2020,587186,2020-09-26T13:30:00+00:00,UTC,1601127000,Match Finished,FT,90,Regular Season - 2,168,Bayer Leverkusen,173,RB Leipzig,1,1,DRAW,699,BayArena,H. Osmers
78,Bundesliga,Germany,2020,587192,2020-09-26T13:30:00+00:00,UTC,1601127000,Match Finished,FT,90,Regular Season - 2,170,FC Augsburg,165,Borussia Dortmund,2,0,HOME,698,WWK Arena,M. Petersen
78,Bundesliga,Germany,2020,587193,2020-09-26T13:30:00+00:00,UTC,1601127000,Match Finished,FT,90,Regular Season - 2,188,Arminia Bielefeld,192,1. FC Köln,1,0,HOME,697,SchücoArena,P. Ittrich
78,Bundesliga,Germany,2020,587190,2020-09-26T16:30:00+00:00,UTC,1601137800,Match Finished,FT,90,Regular Season - 2,174,FC Schalke 04,162,Werder Bremen,1,3,AWAY,741,VELTINS-Arena,M. Schmidt
78,Bundesliga,Germany,2020,587187,2020-09-27T13:30:00+00:00,UTC,1601213400,Match Finished,FT,90,Regular Season - 2,167,1899 Hoffenheim,157,Bayern Munich,4,1,HOME,724,PreZero Arena,B. Brand
78,Bundesliga,Germany,2020,587188,2020-09-27T16:00:00+00:00,UTC,1601222400,Match Finished,FT,90,Regular Season - 2,160,SC Freiburg,161,VfL Wolfsburg,1,1,DRAW,716,Schwarzwald-Stadion,S. Storks
78,Bundesliga,Germany,2020,587199,2020-10-02T18:30:00+00:00,UTC,1601663400,Match Finished,FT,90,Regular Season - 3,182,Union Berlin,164,FSV Mainz 05,4,0,HOME,748,Stadion An der Alten Försterei,S. Stegemann
78,Bundesliga,Germany,2020,587201,2020-10-03T13:30:00+00:00,UTC,1601731800,Match Finished,FT,90,Regular Season - 3,162,Werder Bremen,188,Arminia Bielefeld,1,0,HOME,755,wohninvest WESERSTADION,R. Schröder
78,Bundesliga,Germany,2020,587195,2020-10-03T13:30:00+00:00,UTC,1601731800,Match Finished,FT,90,Regular Season - 3,165,Borussia Dortmund,160,SC Freiburg,4,0,HOME,702,Signal-Iduna-Park,G. Winkmann
78,Bundesliga,Germany,2020,587198,2020-10-03T13:30:00+00:00,UTC,1601731800,Match Finished,FT,90,Regular Season - 3,169,Eintracht Frankfurt,167,1899 Hoffenheim,2,1,HOME,10491,Deutsche Bank Park,M. Gräfe
78,Bundesliga,Germany,2020,587202,2020-10-03T13:30:00+00:00,UTC,1601731800,Match Finished,FT,90,Regular Season - 3,172,VfB Stuttgart,168,Bayer Leverkusen,1,1,DRAW,750,Mercedes-Benz-Arena,R. Hartmann
78,Bundesliga,Germany,2020,587200,2020-10-03T13:30:00+00:00,UTC,1601731800,Match Finished,FT,90,Regular Season - 3,192,1. FC Köln,163,Borussia Monchengladbach,1,3,AWAY,731,RheinEnergieStadion,M. Fritz
78,Bundesliga,Germany,2020,587196,2020-10-03T16:30:00+00:00,UTC,1601742600,Match Finished,FT,90,Regular Season - 3,173,RB Leipzig,174,FC Schalke 04,4,0,HOME,738,Red Bull Arena,F. Badstübner
78,Bundesliga,Germany,2020,587197,2020-10-04T13:30:00+00:00,UTC,1601818200,Match Finished,FT,90,Regular Season - 3,161,VfL Wolfsburg,170,FC Augsburg,0,0,DRAW,752,VOLKSWAGEN ARENA,F. Zwayer
78,Bundesliga,Germany,2020,587194,2020-10-04T16:00:00+00:00,UTC,1601827200,Match Finished,FT,90,Regular Season - 3,157,Bayern Munich,159,Hertha Berlin,4,3,HOME,700,Allianz Arena,B. Cortus
78,Bundesliga,Germany,2020,587206,2020-10-17T13:30:00+00:00,UTC,1602941400,Match Finished,FT,90,Regular Season - 4,159,Hertha Berlin,172,VfB Stuttgart,0,2,AWAY,694,Olympiastadion Berlin,H. Osmers
78,Bundesliga,Germany,2020,587205,2020-10-17T13:30:00+00:00,UTC,1602941400,Match Finished,FT,90,Regular Season - 4,160,SC Freiburg,162,Werder Bremen,1,1,DRAW,716,Schwarzwald-Stadion,C. Dingert
78,Bundesliga,Germany,2020,587208,2020-10-17T13:30:00+00:00,UTC,1602941400,Match Finished,FT,90,Regular Season - 4,164,FSV Mainz 05,168,Bayer Leverkusen,0,1,AWAY,717,OPEL ARENA,B. Dankert
78,Bundesliga,Germany,2020,587204,2020-10-17T13:30:00+00:00,UTC,1602941400,Match Finished,FT,90,Regular Season - 4,167,1899 Hoffenheim,165,Borussia Dortmund,0,1,AWAY,724,PreZero Arena,S. Stegemann
78,Bundesliga,Germany,2020,587210,2020-10-17T13:30:00+00:00,UTC,1602941400,Match Finished,FT,90,Regular Season - 4,170,FC Augsburg,173,RB Leipzig,0,2,AWAY,698,WWK Arena,F. Brych
78,Bundesliga,Germany,2020,587211,2020-10-17T16:30:00+00:00,UTC,1602952200,Match Finished,FT,90,Regular Season - 4,188,Arminia Bielefeld,157,Bayern Munich,1,4,AWAY,697,SchücoArena,D. Siebert
78,Bundesliga,Germany,2020,587203,2020-10-17T18:30:00+00:00,UTC,1602959400,Match Finished,FT,90,Regular Season - 4,163,Borussia Monchengladbach,161,VfL Wolfsburg,1,1,DRAW,703,Stadion im BORUSSIA-PARK,D. Schlager
78,Bundesliga,Germany,2020,587209,2020-10-18T13:30:00+00:00,UTC,1603027800,Match Finished,FT,90,Regular Season - 4,192,1. FC Köln,169,Eintracht Frankfurt,1,1,DRAW,731,RheinEnergieStadion,S. Jablonski
78,Bundesliga,Germany,2020,587207,2020-10-18T16:00:00+00:00,UTC,1603036800,Match Finished,FT,90,Regular Season - 4,174,FC Schalke 04,182,Union Berlin,1,1,DRAW,741,VELTINS-Arena,P. Ittrich
78,Bundesliga,Germany,2020,587220,2020-10-23T18:30:00+00:00,UTC,1603477800,Match Finished,FT,90,Regular Season - 5,172,VfB Stuttgart,192,1. FC Köln,1,1,DRAW,750,Mercedes-Benz-Arena,G. Winkmann
78,Bundesliga,Germany,2020,587212,2020-10-24T13:30:00+00:00,UTC,1603546200,Match Finished,FT,90,Regular Season - 5,157,Bayern Munich,169,Eintracht Frankfurt,5,0,HOME,700,Allianz Arena,M. Schmidt
78,Bundesliga,Germany,2020,587218,2020-10-24T13:30:00+00:00,UTC,1603546200,Match Finished,FT,90,Regular Season - 5,164,FSV Mainz 05,163,Borussia Monchengladbach,2,3,AWAY,717,OPEL ARENA,F. Willenborg
78,Bundesliga,Germany,2020,587214,2020-10-24T13:30:00+00:00,UTC,1603546200,Match Finished,FT,90,Regular Season - 5,173,RB Leipzig,159,Hertha Berlin,2,1,HOME,738,Red Bull Arena,T. Stieler
78,Bundesliga,Germany,2020,587217,2020-10-24T13:30:00+00:00,UTC,1603546200,Match Finished,FT,90,Regular Season - 5,182,Union Berlin,160,SC Freiburg,1,1,DRAW,748,Stadion An der Alten Försterei,R. Schröder
78,Bundesliga,Germany,2020,587213,2020-10-24T16:30:00+00:00,UTC,1603557000,Match Finished,FT,90,Regular Season - 5,165,Borussia Dortmund,174,FC Schalke 04,3,0,HOME,702,Signal-Iduna-Park,F. Zwayer
78,Bundesliga,Germany,2020,587216,2020-10-25T14:30:00+00:00,UTC,1603636200,Match Finished,FT,90,Regular Season - 5,161,VfL Wolfsburg,188,Arminia Bielefeld,2,1,HOME,752,VOLKSWAGEN ARENA,M. Gräfe
