league_id,league_name,country_name,season,fixture_id,utc_date,timezone,timestamp,status_long,status_short,elapsed,round,home_team_id,home_team_name,away_team_id,away_team_name,home_goals,away_goals,winner,venue_id,venue_name,referee
135,Serie A,Italy,2021,731587,2021-08-21T16:30:00+00:00,UTC,1629563400,Match Finished,FT,90,Regular Season - 1,504,Hellas Verona,488,Sassuolo,2,3,AWAY,890,Stadio Marc'Antonio Bentegodi,M. Volpi
135,Serie A,Italy,2021,731588,2021-08-21T16:30:00+00:00,UTC,1629563400,Match Finished,FT,90,Regular Season - 1,505,Inter,495,Genoa,4,0,HOME,907,Stadio Giuseppe Meazza,V. Marini
135,Serie A,Italy,2021,731592,2021-08-21T18:45:00+00:00,UTC,1629571500,Match Finished,FT,90,Regular Season - 1,503,Torino,499,Atalanta,1,2,AWAY,943,Stadio Olimpico Grande Torino,D. Chiffi
135,Serie A,Italy,2021,731586,2021-08-21T18:45:00+00:00,UTC,1629571500,Match Finished,FT,90,Regular Season - 1,511,Empoli,487,Lazio,1,3,AWAY,896,Stadio Carlo Castellani,S. Sozza
135,Serie A,Italy,2021,731593,2021-08-22T16:30:00+00:00,UTC,1629649800,Match Finished,FT,90,Regular Season - 1,494,Udinese,496,Juventus,2,2,DRAW,928,Dacia Arena,I. Pezzuto
135,Serie A,Italy,2021,731584,2021-08-22T16:30:00+00:00,UTC,1629649800,Match Finished,FT,90,Regular Season - 1,500,Bologna,514,Salernitana,3,2,HOME,881,Stadio Renato Dall'Ara,A. Rapuano
135,Serie A,Italy,2021,731589,2021-08-22T18:45:00+00:00,UTC,1629657900,Match Finished,FT,90,Regular Season - 1,492,Napoli,517,Venezia,2,0,HOME,11904,Stadio Diego Armando Maradona,G. Aureliano
135,Serie A,Italy,2021,731590,2021-08-22T18:45:00+00:00,UTC,1629657900,Match Finished,FT,90,Regular Season - 1,497,AS Roma,502,Fiorentina,3,1,HOME,910,Stadio Olimpico,L. Pairetto
135,Serie A,Italy,2021,731585,2021-08-23T16:30:00+00:00,UTC,1629736200,Match Finished,FT,90,Regular Season - 1,490,Cagliari,515,Spezia,2,2,DRAW,12275,Unipol Domus,F. Fourneau
135,Serie A,Italy,2021,731591,2021-08-23T18:45:00+00:00,UTC,1629744300,Match Finished,FT,90,Regular Season - 1,498,Sampdoria,489,AC Milan,0,1,AWAY,905,Stadio Comunale Luigi Ferraris,M. Guida
