league_id,league_name,country_name,season,fixture_id,utc_date,timezone,timestamp,status_long,status_short,elapsed,round,home_team_id,home_team_name,away_team_id,away_team_name,home_goals,away_goals,winner,venue_id,venue_name,referee
78,Bundesliga,Germany,2022,871164,2022-08-05T18:30:00+00:00,UTC,1659724200,Match Finished,FT,90,Regular Season - 1,169,Eintracht Frankfurt,157,Bayern Munich,1,6,AWAY,10491,Deutsche Bank Park,D. Aytekin
78,Bundesliga,Germany,2022,871169,2022-08-06T13:30:00+00:00,UTC,1659792600,Match Finished,FT,90,Regular Season - 1,161,VfL Wolfsburg,162,Werder Bremen,2,2,DRAW,752,VOLKSWAGEN ARENA,S. Stegemann
78,Bundesliga,Germany,2022,871168,2022-08-06T13:30:00+00:00,UTC,1659792600,Match Finished,FT,90,Regular Season - 1,163,Borussia Monchengladbach,167,1899 Hoffenheim,3,1,HOME,703,Stadion im BORUSSIA-PARK,D. Siebert
78,Bundesliga,Germany,2022,871171,2022-08-06T13:30:00+00:00,UTC,1659792600,Match Finished,FT,90,Regular Season - 1,170,FC Augsburg,160,SC Freiburg,0,4,AWAY,698,WWK Arena,B. Dankert
78,Bundesliga,Germany,2022,871170,2022-08-06T13:30:00+00:00,UTC,1659792600,Match Finished,FT,90,Regular Season - 1,176,Vfl Bochum,164,FSV Mainz 05,1,2,AWAY,751,Vonovia Ruhrstadion,F. Zwayer
78,Bundesliga,Germany,2022,871166,2022-08-06T13:30:00+00:00,UTC,1659792600,Match Finished,FT,90,Regular Season - 1,182,Union Berlin,159,Hertha Berlin,3,1,HOME,748,Stadion An der Alten Försterei,M. Fritz
78,Bundesliga,Germany,2022,871165,2022-08-06T16:30:00+00:00,UTC,1659803400,Match Finished,FT,90,Regular Season - 1,165,Borussia Dortmund,168,Bayer Leverkusen,1,0,HOME,19381,SIGNAL IDUNA PARK,F. Brych
78,Bundesliga,Germany,2022,871172,2022-08-07T13:30:00+00:00,UTC,1659879000,Match Finished,FT,90,Regular Season - 1,172,VfB Stuttgart,173,RB Leipzig,1,1,DRAW,750,Mercedes-Benz-Arena,T. Stieler
78,Bundesliga,Germany,2022,871167,2022-08-07T15:30:00+00:00,UTC,1659886200,Match Finished,FT,90,Regular Season - 1,192,1. FC Köln,174,FC Schalke 04,3,1,HOME,731,RheinEnergieStadion,R. Schröder
78,Bundesliga,Germany,2022,871176,2022-08-12T18:30:00+00:00,UTC,1660329000,Match Finished,FT,90,Regular Season - 2,160,SC Freiburg,165,Borussia Dortmund,1,3,AWAY,12717,Europa-Park Stadion,T. Welz
