league_id,league_name,country_name,season,fixture_id,utc_date,timezone,timestamp,status_long,status_short,elapsed,round,home_team_id,home_team_name,away_team_id,away_team_name,home_goals,away_goals,winner,venue_id,venue_name,referee
61,Ligue 1,France,2021,718354,2021-08-06T19:00:00+00:00,UTC,1628276400,Match Finished,FT,90,Regular Season - 1,91,Monaco,83,Nantes,1,1,DRAW,659,Stade Louis II,A. Gautier
61,Ligue 1,France,2021,718352,2021-08-07T15:00:00+00:00,UTC,1628348400,Match Finished,FT,90,Regular Season - 1,80,Lyon,106,Stade Brestois 29,1,1,DRAW,666,Groupama Stadium,M. Lesage
61,Ligue 1,France,2021,718360,2021-08-07T19:00:00+00:00,UTC,1628362800,Match Finished,FT,90,Regular Season - 1,110,Estac Troyes,85,Paris Saint Germain,1,2,AWAY,684,Stade de l'Aube,A. Delerue
61,Ligue 1,France,2021,718357,2021-08-08T11:00:00+00:00,UTC,1628420400,Match Finished,FT,90,Regular Season - 1,94,Rennes,116,Lens,1,1,DRAW,680,Roazhon Park,B. Dechepy
61,Ligue 1,France,2021,718351,2021-08-08T13:00:00+00:00,UTC,1628427600,Match Finished,FT,90,Regular Season - 1,78,Bordeaux,99,Clermont Foot,0,2,AWAY,638,Stade Matmut-Atlantique,F. Batta
61,Ligue 1,France,2021,718356,2021-08-08T13:00:00+00:00,UTC,1628427600,Match Finished,FT,90,Regular Season - 1,84,Nice,93,Reims,0,0,DRAW,663,Allianz Riviera,J. Hamel
61,Ligue 1,France,2021,718359,2021-08-08T13:00:00+00:00,UTC,1628427600,Match Finished,FT,90,Regular Season - 1,95,Strasbourg,77,Angers,0,2,AWAY,681,Stade de la Meinau,J. Stinat
61,Ligue 1,France,2021,718358,2021-08-08T13:00:00+00:00,UTC,1628427600,Match Finished,FT,90,Regular Season - 1,1063,Saint Etienne,97,Lorient,1,1,DRAW,676,Stade Geoffroy-Guichard,T. Léonard
61,Ligue 1,France,2021,718353,2021-08-08T15:00:00+00:00,UTC,1628434800,Match Finished,FT,90,Regular Season - 1,112,Metz,79,Lille,3,3,DRAW,658,Stade Saint-Symphorien,E. Wattellier
61,Ligue 1,France,2021,718355,2021-08-08T18:45:00+00:00,UTC,1628448300,Match Finished,FT,90,Regular Season - 1,82,Montpellier,81,Marseille,2,3,AWAY,660,Stade de la Mosson,J. Pignard
61,Ligue 1,France,2021,718366,2021-08-13T19:00:00+00:00,UTC,1628881200,Match Finished,FT,90,Regular Season - 2,97,Lorient,91,Monaco,1,0,HOME,656,Stade Yves Allainmat - Le Moustoir,H. Ben El Hadj
61,Ligue 1,France,2021,718365,2021-08-14T15:00:00+00:00,UTC,1628953200,Match Finished,FT,90,Regular Season - 2,79,Lille,84,Nice,0,4,AWAY,655,Stade Pierre-Mauroy,J. Brisard
61,Ligue 1,France,2021,718369,2021-08-14T19:00:00+00:00,UTC,1628967600,Match Finished,FT,90,Regular Season - 2,85,Paris Saint Germain,95,Strasbourg,4,2,HOME,671,Parc des Princes,W. Delajod
61,Ligue 1,France,2021,718361,2021-08-15T11:00:00+00:00,UTC,1629025200,Match Finished,FT,90,Regular Season - 2,77,Angers,80,Lyon,3,0,HOME,634,Stade Raymond-Kopa,C. Turpin
61,Ligue 1,France,2021,718368,2021-08-15T13:00:00+00:00,UTC,1629032400,Match Finished,FT,90,Regular Season - 2,83,Nantes,112,Metz,2,0,HOME,662,Stade de la Beaujoire - Louis Fonteneau,J. Hamel
61,Ligue 1,France,2021,718370,2021-08-15T13:00:00+00:00,UTC,1629032400,Match Finished,FT,90,Regular Season - 2,93,Reims,82,Montpellier,3,3,DRAW,674,Stade Auguste-Delaune II,J. Stinat
61,Ligue 1,France,2021,718363,2021-08-15T13:00:00+00:00,UTC,1629032400,Match Finished,FT,90,Regular Season - 2,99,Clermont Foot,110,Estac Troyes,2,0,HOME,644,Stade Gabriel Montpied,R. Lissorgue
61,Ligue 1,France,2021,718362,2021-08-15T13:00:00+00:00,UTC,1629032400,Match Finished,FT,90,Regular Season - 2,106,Stade Brestois 29,94,Rennes,1,1,DRAW,641,Stade Francis-Le Blé,B. Bastien
61,Ligue 1,France,2021,718364,2021-08-15T15:00:00+00:00,UTC,1629039600,Match Finished,FT,90,Regular Season - 2,116,Lens,1063,Saint Etienne,2,2,DRAW,654,Stade Bollaert-Delelis,A. Delerue
